date,tempC,apparentC,wetBulbC,dewPointC,humidity,windKPH,gustKPH,precipProb,precipMM,cloud,cloudLow,cloudMed,cloudHigh,uv,pressurePa,isDaylight,symbol
2026-06-28T01:00:00Z,14.28,10.94,11.70,9.71,0.74,15.28,34.87,0.00,0.00,0.85,0.06,0.42,0.52,1.00,101777.56,1,cloud
2026-06-28T02:00:00Z,15.17,11.56,12.19,9.95,0.71,15.88,35.67,0.00,0.00,0.92,0.13,0.62,0.39,2.00,101704.87,1,cloud
2026-06-28T03:00:00Z,15.61,12.00,12.37,9.94,0.69,15.76,35.60,0.00,0.00,0.95,0.30,0.66,0.62,2.00,101606.38,1,cloud
2026-06-28T04:00:00Z,15.98,13.22,12.59,10.08,0.68,15.13,33.48,0.00,0.00,0.76,0.31,0.58,0.35,2.00,101523.64,1,cloud
2026-06-28T05:00:00Z,15.83,12.24,12.45,9.93,0.68,15.84,34.35,0.00,0.00,0.96,0.27,0.73,0.54,1.00,101484.56,1,cloud
2026-06-28T06:00:00Z,15.08,11.93,12.00,9.65,0.70,15.06,35.19,0.00,0.00,0.86,0.25,0.75,0.32,1.00,101480.02,1,cloud
2026-06-28T07:00:00Z,14.18,11.02,11.39,9.20,0.72,15.17,34.57,0.00,0.00,0.80,0.28,0.86,0.30,0.00,101497.02,1,cloud
2026-06-28T08:00:00Z,13.13,9.83,10.74,8.80,0.75,15.17,35.18,0.00,0.00,0.84,0.14,0.88,0.14,0.00,101507.74,0,cloud
2026-06-28T09:00:00Z,12.48,9.34,10.23,8.36,0.76,14.55,33.08,0.00,0.00,0.91,0.12,0.93,0.29,0.00,101521.27,0,cloud
2026-06-28T10:00:00Z,12.20,9.34,10.07,8.29,0.77,13.71,30.81,0.00,0.00,0.95,0.16,0.91,0.00,0.00,101542.54,0,cloud
2026-06-28T11:00:00Z,12.09,8.92,10.06,8.37,0.78,14.56,31.61,0.00,0.00,0.91,0.14,0.88,0.10,0.00,101519.44,0,cloud
2026-06-28T12:00:00Z,12.14,8.78,10.11,8.42,0.78,14.86,31.74,0.00,0.00,0.84,0.12,0.79,0.14,0.00,101501.66,0,cloud
2026-06-28T13:00:00Z,12.04,8.51,10.21,8.70,0.80,15.05,31.87,0.00,0.00,0.76,0.12,0.63,0.15,0.00,101462.68,0,cloud
2026-06-28T14:00:00Z,11.91,8.57,10.08,8.57,0.80,14.75,31.90,0.00,0.00,0.84,0.18,0.72,0.42,0.00,101421.65,0,cloud
2026-06-28T15:00:00Z,11.83,8.62,10.10,8.67,0.81,14.23,30.30,0.00,0.00,0.80,0.17,0.64,0.47,0.00,101361.84,0,cloud
2026-06-28T16:00:00Z,11.82,7.92,10.09,8.66,0.81,15.65,32.93,0.00,0.00,0.60,0.08,0.45,0.28,0.00,101319.07,0,cloud.moon
2026-06-28T17:00:00Z,11.76,8.04,10.13,8.79,0.82,15.30,34.70,0.00,0.00,0.66,0.02,0.60,0.37,0.00,101265.26,0,cloud
2026-06-28T18:00:00Z,11.60,7.99,9.89,8.45,0.81,14.31,32.81,0.00,0.00,0.50,0.10,0.34,0.17,0.00,101200.31,0,cloud.moon
2026-06-28T19:00:00Z,11.67,8.24,10.04,8.70,0.82,14.88,33.13,0.00,0.00,0.79,0.12,0.78,0.48,0.00,101145.79,0,cloud
2026-06-28T20:00:00Z,11.77,9.18,10.14,8.80,0.82,12.54,28.05,0.00,0.00,0.83,0.11,0.72,0.41,0.00,101119.17,0,cloud
2026-06-28T21:00:00Z,11.85,9.23,10.21,8.88,0.82,11.95,27.36,0.00,0.00,0.65,0.26,0.56,0.17,0.00,101153.13,0,cloud
2026-06-28T22:00:00Z,11.94,9.40,10.21,8.78,0.81,11.84,26.22,0.00,0.00,0.68,0.34,0.55,0.37,0.00,101167.24,1,cloud
2026-06-28T23:00:00Z,12.31,10.29,10.46,8.96,0.80,11.22,26.49,0.00,0.00,0.74,0.24,0.65,0.12,0.00,101168.02,1,cloud
2026-06-29T00:00:00Z,13.17,10.29,11.07,9.42,0.78,12.39,27.19,0.00,0.00,0.97,0.43,0.93,0.34,1.00,101172.83,1,cloud
2026-06-29T01:00:00Z,14.12,10.60,11.75,9.95,0.76,14.25,30.62,0.00,0.00,1.00,0.38,0.93,0.38,1.00,101154.94,1,cloud
2026-06-29T02:00:00Z,14.59,11.61,11.97,10.01,0.74,13.09,26.56,0.22,0.40,0.96,0.65,0.86,0.14,2.00,101074.40,1,cloud
2026-06-29T03:00:00Z,15.17,12.21,12.29,10.16,0.72,13.34,26.76,0.00,0.00,0.95,0.52,0.80,0.66,2.00,100954.33,1,cloud
2026-06-29T04:00:00Z,15.80,13.18,12.86,10.76,0.72,12.60,26.71,0.00,0.00,0.95,0.33,0.59,0.82,2.00,100850.25,1,cloud
2026-06-29T05:00:00Z,16.30,13.49,13.20,11.03,0.71,13.23,27.92,0.01,0.07,0.99,0.39,0.93,0.46,1.00,100804.56,1,cloud
2026-06-29T06:00:00Z,15.72,13.52,13.01,11.10,0.74,11.68,26.38,0.26,0.60,0.96,0.56,0.91,0.54,1.00,100783.49,1,cloud
2026-06-29T07:00:00Z,14.09,12.17,12.43,11.25,0.83,11.37,27.83,0.42,0.63,0.98,0.53,0.90,0.79,0.00,100765.19,1,cloud.drizzle
2026-06-29T08:00:00Z,13.50,11.83,12.16,11.20,0.86,11.17,28.13,0.46,0.81,0.95,0.65,0.89,0.62,0.00,100771.92,0,cloud.moon.rain
2026-06-29T09:00:00Z,13.44,11.00,12.20,11.32,0.87,13.67,30.89,0.48,0.89,0.96,0.46,0.81,0.92,0.00,100794.65,0,cloud.moon.rain
2026-06-29T10:00:00Z,13.21,11.05,12.08,11.27,0.88,12.80,28.35,0.42,0.47,0.98,0.50,0.72,0.76,0.00,100810.08,0,cloud.moon.rain
2026-06-29T11:00:00Z,12.98,10.71,11.95,11.21,0.89,12.61,26.26,0.36,0.17,0.86,0.50,0.50,0.72,0.00,100813.57,0,cloud.moon.rain
2026-06-29T12:00:00Z,12.63,10.55,11.61,10.86,0.89,11.58,24.93,0.38,0.36,0.79,0.60,0.54,0.76,0.00,100796.93,0,cloud.moon.rain
2026-06-29T13:00:00Z,12.45,10.35,11.53,10.85,0.90,11.41,25.05,0.36,0.54,0.74,0.75,0.36,0.24,0.00,100777.66,0,cloud.moon.rain
2026-06-29T14:00:00Z,12.13,9.89,11.31,10.70,0.91,11.37,24.47,0.31,0.14,0.63,0.78,0.07,0.03,0.00,100754.13,0,cloud.moon.rain
2026-06-29T15:00:00Z,11.78,9.80,11.06,10.52,0.92,10.98,24.41,0.31,0.16,0.76,0.78,0.15,0.03,0.00,100721.58,0,cloud.moon.rain
2026-06-29T16:00:00Z,11.74,9.72,11.03,10.48,0.92,11.64,25.71,0.29,0.15,0.91,0.88,0.17,0.01,0.00,100712.54,0,cloud
2026-06-29T17:00:00Z,11.46,9.49,11.02,10.69,0.95,11.77,25.65,0.29,0.05,0.97,0.96,0.03,0.00,0.00,100701.02,0,cloud
2026-06-29T18:00:00Z,11.27,9.39,10.83,10.50,0.95,11.51,23.70,0.28,0.05,0.96,0.95,0.00,0.00,0.00,100674.77,0,cloud
2026-06-29T19:00:00Z,11.44,9.68,11.00,10.67,0.95,10.85,22.46,0.22,0.05,0.88,0.83,0.00,0.00,0.00,100659.23,0,cloud
