n	status	R2	AICc	nFeatures	features	b0_std	b0_raw	apparentTempC_std	apparentTempC_raw	apparentMinusTemp_std	apparentMinusTemp_raw	tempMinusWetBulb_std	tempMinusWetBulb_raw	wetBulbMinusDewPoint_std	wetBulbMinusDewPoint_raw	humidity_std	humidity_raw	stationPressurePa_std	stationPressurePa_raw	windSpeedKPH_std	windSpeedKPH_raw	precipProbability_std	precipProbability_raw	precipitationMM_std	precipitationMM_raw	cloudCover_std	cloudCover_raw	cloudCoverLow_std	cloudCoverLow_raw	cloudCoverMedium_std	cloudCoverMedium_raw	cloudCoverHigh_std	cloudCoverHigh_raw	uvIndex_std	uvIndex_raw	isDaylight_std	isDaylight_raw	activity_std	activity_raw	dress_std	dress_raw	sun_std	sun_raw	m	h_lower	h_upper	h_min	h_mean	h_max	n_inRange	n_blended	n_extrapolated
5	MODEL	0.8787	21.1913	1	apparentTempC	1.5016	-2.8911	9.2152	0.9485																																			2	0.8000	1.2000	0.2039	0.4000	0.9210	4	1	0
6	MODEL	0.8763	22.8000	1	apparentTempC	-0.9810	-4.1795	10.0076	1.0511																																			2	0.6667	1.0000	0.1670	0.3333	0.8885	5	1	0
7	MODEL	0.8654	25.7501	1	apparentTempC	-3.0855	-5.2556	10.4524	1.1368																																			2	0.5714	0.8571	0.1430	0.2857	0.8712	6	0	1
8	MODEL	0.8739	26.7784	1	apparentTempC	-4.0545	-5.1825	10.0560	1.1306																																			2	0.5000	0.7500	0.1250	0.2500	0.8570	7	0	1
9	MODEL	0.8597	29.8571	1	apparentTempC	-2.8848	-4.6371	9.8809	1.1686																																			2	0.4444	0.6667	0.1116	0.2222	0.7850	8	0	1
10	MODEL	0.9571	23.6582	2	apparentTempC,windSpeedKPH	-2.6394	0.9308	8.8074	1.1047											-3.3058	-0.5365																							3	0.6000	0.9000	0.1069	0.3000	0.8668	9	1	0
11	MODEL	0.9494	27.6922	2	apparentTempC,precipitationMM	-1.1909	-3.4934	14.1067	1.7701															-5.3582	-23.3219																			3	0.5455	0.8182	0.1018	0.2727	1.0000	10	0	1
12	MODEL	0.9554	27.9241	2	apparentTempC,precipitationMM	-2.2796	-3.5381	14.1407	1.7806															-5.1810	-23.5530																			3	0.5000	0.7500	0.0962	0.2500	1.0000	11	0	1
13	MODEL	0.9477	30.2072	2	apparentTempC,precipitationMM	-2.2046	-3.2628	13.5489	1.7764															-5.0298	-23.7994																			3	0.4615	0.6923	0.0838	0.2308	1.0000	12	0	1
14	MODEL	0.9478	30.5608	2	apparentTempC,precipitationMM	-2.3346	-3.2576	13.0466	1.7764															-4.8479	-23.8049																			3	0.4286	0.6429	0.0770	0.2143	1.0000	12	1	1
15	MODEL	0.9658	28.5230	3	apparentTempC,precipitationMM,windSpeedKPH	-2.6046	-0.5922	11.8432	1.6632											-1.3872	-0.2586			-3.8946	-19.7947																			4	0.5333	0.8000	0.0740	0.2667	1.0000	13	1	1
16	MODEL	0.9737	28.5006	3	apparentTempC,precipitationMM,windSpeedKPH	-1.2747	-0.6482	12.2345	1.6305											-1.3939	-0.2591			-3.5831	-18.8091																			4	0.5000	0.7500	0.0719	0.2500	1.0000	15	0	1
17	MODEL	0.9728	29.1721	3	apparentTempC,precipitationMM,windSpeedKPH	-0.8856	-0.6600	13.5448	1.6033											-1.5120	-0.2600			-5.6970	-16.3162																			4	0.4706	0.7059	0.0718	0.2353	0.7693	16	0	1
18	MODEL	0.9709	30.3682	3	apparentTempC,precipitationMM,windSpeedKPH	-0.6449	-0.7772	13.0322	1.5865											-1.4757	-0.2597			-5.4040	-15.8982																			4	0.4444	0.6667	0.0691	0.2222	0.7672	17	0	1
19	MODEL	0.9606	36.0730	3	apparentTempC,precipitationMM,windSpeedKPH	-0.4432	0.6378	12.2495	1.5258											-2.2590	-0.3737			-4.7000	-14.1847																			4	0.4211	0.6316	0.0626	0.2105	0.7672	18	0	1
20	MODEL	0.9768	31.0120	4	apparentTempC,precipitationMM,windSpeedKPH,cloudCover	0.2225	1.3173	13.5529	1.5705											-2.2680	-0.3804			-4.3462	-11.4007	-1.6457	-4.4829																	5	0.5000	0.7500	0.0735	0.2500	0.5494	18	2	0
21	MODEL	0.9780	35.8750	4	apparentTempC,precipitationMM,windSpeedKPH,cloudCover	1.5323	1.2063	13.9630	1.4816											-2.2837	-0.3661			-3.5494	-9.5514	-1.8923	-5.0457																	5	0.4762	0.7143	0.0730	0.2381	0.5453	20	1	0
22	MODEL	0.9789	36.7062	4	apparentTempC,precipitationMM,windSpeedKPH,cloudCover	2.2673	1.3301	15.1516	1.4688											-2.3388	-0.3755			-3.9256	-9.6492	-2.0545	-5.1544																	5	0.4545	0.6818	0.0724	0.2273	0.4622	21	1	0
23	MODEL	0.9778	42.6365	4	apparentTempC,precipitationMM,windSpeedKPH,cloudCover	3.4574	1.4906	14.8970	1.3617											-2.5226	-0.4077			-3.1343	-7.8810	-1.6510	-4.2342																	5	0.4348	0.6522	0.0720	0.2174	0.4537	22	1	0
24	MODEL	0.9767	43.8414	4	apparentTempC,windSpeedKPH,precipitationMM,cloudCover	3.4973	1.9598	14.5099	1.3475											-2.8293	-0.4433			-2.8717	-7.3475	-1.6973	-4.3983																	5	0.4167	0.6250	0.0676	0.2083	0.4518	22	2	0
25	MODEL	0.9819	41.4143	5	apparentTempC,windSpeedKPH,precipitationMM,cloudCover,apparentMinusTemp	3.7508	1.5871	16.2488	1.5412	-2.8303	-0.2608									-3.1174	-0.4773			-2.2231	-5.7848	-1.3791	-3.6120																	6	0.4800	0.7200	0.0698	0.2400	0.6152	24	1	0
26	MODEL	0.9816	41.5975	5	apparentTempC,windSpeedKPH,precipitationMM,cloudCover,apparentMinusTemp	3.8341	1.5568	15.9890	1.5477	-2.8689	-0.2697									-3.0497	-0.4763			-2.2665	-5.9952	-1.2657	-3.2795																	6	0.4615	0.6923	0.0697	0.2308	0.6133	25	1	0
27	MODEL	0.9817	41.5704	5	apparentTempC,windSpeedKPH,precipitationMM,cloudCover,apparentMinusTemp	4.1032	1.5862	15.5819	1.5344	-2.7233	-0.2608									-3.0203	-0.4810			-2.1984	-5.9083	-1.2252	-3.2039																	6	0.4444	0.6667	0.0685	0.2222	0.6023	25	2	0
28	MODEL	0.9783	46.1046	5	apparentTempC,precipitationMM,windSpeedKPH,apparentMinusTemp,cloudCover	4.2633	1.4857	15.7449	1.5795	-3.1256	-0.3027									-2.8636	-0.4637			-2.2089	-6.0288	-1.2844	-3.3906																	6	0.4286	0.6429	0.0663	0.2143	0.6022	26	2	0
29	MODEL	0.9787	46.2892	5	apparentTempC,windSpeedKPH,apparentMinusTemp,cloudCover,tempMinusWetBulb	3.8986	10.1436	17.4742	1.7812	-8.4582	-0.8314	-3.1064	-2.2679							-4.0103	-0.6572					-2.4110	-6.0841																	6	0.4138	0.6207	0.0713	0.2069	0.4441	28	1	0
30	MODEL	0.9761	49.7399	5	apparentTempC,windSpeedKPH,apparentMinusTemp,cloudCover,precipitationMM	3.7693	1.9005	15.1897	1.5634	-3.0281	-0.3012									-3.1628	-0.5074			-1.8528	-5.2091	-1.5046	-3.6662																	6	0.4000	0.6000	0.0660	0.2000	0.5498	28	2	0
31	MODEL	0.9767	50.4016	5	apparentTempC,windSpeedKPH,apparentMinusTemp,cloudCover,precipitationMM	3.3237	1.7416	15.4005	1.5842	-3.1245	-0.3152									-3.0874	-0.5000			-1.8409	-5.2498	-1.5217	-3.7581																	6	0.3871	0.5806	0.0644	0.1935	0.5493	29	2	0
32	MODEL	0.9776	50.5886	5	apparentTempC,precipitationMM,windSpeedKPH,cloudCover,apparentMinusTemp	3.7700	1.7654	15.2590	1.5735	-3.0314	-0.3105									-3.0620	-0.5040			-1.7693	-5.1161	-1.4921	-3.7088																	6	0.3750	0.5625	0.0641	0.1875	0.5252	30	2	0
33	MODEL	0.9765	53.9462	5	apparentTempC,windSpeedKPH,apparentMinusTemp,cloudCover,tempMinusWetBulb	4.2516	8.4730	17.7286	1.7400	-8.2242	-0.7846	-2.4200	-1.7598							-4.0085	-0.6701					-2.0380	-4.9249																	6	0.3636	0.5455	0.0682	0.1818	0.3795	32	1	0
34	MODEL	0.9774	55.4183	5	apparentTempC,windSpeedKPH,apparentMinusTemp,cloudCover,tempMinusWetBulb	3.6601	8.1330	18.0490	1.7598	-8.2560	-0.7941	-2.2922	-1.6925							-4.0455	-0.6779					-1.9538	-4.7491																	6	0.3529	0.5294	0.0633	0.1765	0.3746	33	1	0
35	MODEL	0.9789	55.8005	5	apparentTempC,windSpeedKPH,apparentMinusTemp,cloudCover,tempMinusWetBulb	3.0869	8.1558	18.2551	1.7694	-8.3043	-0.8030	-2.2799	-1.7062							-4.1036	-0.6840					-1.9216	-4.6992																	6	0.3429	0.5143	0.0584	0.1714	0.3736	34	1	0
36	MODEL	0.9803	55.8487	5	apparentTempC,windSpeedKPH,apparentMinusTemp,cloudCover,tempMinusWetBulb	3.6437	8.1611	18.1081	1.7697	-8.1898	-0.8034	-2.2518	-1.7075							-4.1803	-0.6841					-1.9100	-4.7003																	6	0.3333	0.5000	0.0584	0.1667	0.3723	34	2	0
37	MODEL	0.9799	57.0717	5	apparentTempC,windSpeedKPH,apparentMinusTemp,cloudCover,tempMinusWetBulb	3.8652	8.4185	18.0265	1.7862	-8.3020	-0.8250	-2.3089	-1.7733							-4.1325	-0.6857					-1.9399	-4.8045																	6	0.3243	0.4865	0.0579	0.1622	0.3702	35	2	0
38	MODEL	0.9802	57.7544	5	apparentTempC,windSpeedKPH,apparentMinusTemp,cloudCover,tempMinusWetBulb	3.5193	8.3901	17.7677	1.7796	-8.0416	-0.8079	-2.2375	-1.7418							-4.1457	-0.6896					-2.0968	-5.0600																	6	0.3158	0.4737	0.0579	0.1579	0.3525	36	2	0
39	MODEL	0.9807	57.8205	5	apparentTempC,windSpeedKPH,apparentMinusTemp,cloudCover,tempMinusWetBulb	3.1895	8.4863	17.6690	1.7815	-8.0151	-0.8109	-2.2839	-1.7701							-4.0950	-0.6900					-2.1675	-5.1189																	6	0.3077	0.4615	0.0570	0.1538	0.3131	38	1	0
