rating, appC, dryC, dewC, wetC, rh%, cldc, precmm, windkph
  -0.54909,   17.87204,    1.66667,   -1.11111,    0.55556,   82.00000,    0.75000,    0.50800,   12.87200
  -5.15665,   31.03407,    0.55556,   -0.55556,    0.00000,   92.00000,    0.75000,    2.28600,   16.09000
  10.98461,    7.32492,    7.22222,   -0.55556,    3.88889,   58.00000,    0.00000,    0.00000,    8.04500
   7.43880,    3.20761,    3.88889,   -5.55556,    0.55556,   50.00000,    0.00000,    0.00000,    0.00000
  -5.95285,   -4.56651,    1.11111,  -13.88889,   -3.33333,   32.00000,    0.00000,    0.00000,   12.87200
  12.20371,   10.47986,    6.66667,    0.55556,    3.88889,   65.00000,    0.00000,    0.00000,    4.82700
   5.71724,    7.52515,    1.66667,   -3.88889,   -0.55556,   67.00000,    0.00000,    0.00000,    0.00000
   1.42167,    0.97489,    0.00000,   -7.77778,   -2.77778,   56.00000,    0.00000,    0.00000,    0.00000
   5.88641,    5.18187,    6.66667,   -2.22222,    3.33333,   53.00000,    0.50000,    0.00000,    8.04500
  -1.00136,   -0.60889,    4.44444,  -11.11111,   -0.55556,   32.00000,    0.00000,    0.00000,    9.65400
   5.84656,   -0.35000,    0.55556,   -8.88889,   -2.77778,   49.00000,    0.00000,    0.00000,    0.00000
   6.21294,   26.95207,   -0.55556,   -2.22222,   -1.11111,   89.00000,    0.75000,    0.50800,    4.82700
 -11.83293,   -4.15761,   -2.77778,  -11.66667,   -5.55556,   51.00000,    0.50000,    0.00000,    4.82700
  -8.13900,    1.49577,   -0.55556,   -6.66667,   -2.77778,   64.00000,    0.75000,    0.00000,   11.26300
  -7.93424,   -4.89772,    2.22222,  -11.11111,   -2.22222,   37.00000,    0.00000,    0.00000,   22.52600
   4.46305,    2.03704,    0.00000,   -7.22222,   -2.22222,   59.00000,    0.00000,    0.00000,    0.00000
 597.90534,   26.32777,   -0.55556,   -2.22222,   -1.11111,   89.00000,  -99.00000,    0.76200,    8.04500
  -1.70972,   -0.46617,    2.22222,   -6.66667,   -1.11111,   52.00000,    0.00000,    0.00000,   12.87200
   8.76081,    9.86356,    8.88889,    1.66667,    5.55556,   61.00000,    0.00000,    0.00000,    9.65400
  -6.20182,   -4.58558,    2.22222,  -11.11111,   -2.22222,   37.00000,    0.00000,    0.00000,   20.91700
   3.00970,   27.37015,    1.11111,   -0.55556,    0.55556,   89.00000,    1.00000,    0.25400,   11.26300
  -6.04849,   -4.64345,   -2.22222,  -10.55556,   -4.44444,   53.00000,    0.00000,    0.00000,   12.87200
   7.44788,   15.23720,    2.77778,   -1.11111,    1.11111,   76.00000,    0.75000,    0.00000,    0.00000
  14.38561,   14.41416,   15.00000,    6.11111,   10.55556,   56.00000,    0.75000,    0.00000,    8.04500
   3.07373,   18.32165,    0.55556,   -2.22222,   -0.55556,   82.00000,    0.75000,    0.00000,    4.82700
  10.88117,   18.18201,    5.00000,    1.66667,    3.33333,   79.00000,    0.75000,    0.25400,   11.26300
   3.81269,   26.74586,    1.11111,   -0.55556,    0.55556,   89.00000,    0.75000,    0.50800,   14.48100
   1.01975,    1.26923,    3.33333,   -5.55556,    0.00000,   52.00000,    0.00000,    0.00000,    9.65400
 -11.50164,   -5.93709,   -2.22222,  -11.66667,   -5.00000,   49.00000,    0.00000,    0.00000,   14.48100
 -10.17162,   -4.95560,   -2.22222,  -10.55556,   -4.44444,   53.00000,    0.00000,    0.00000,   14.48100
  -0.40217,   -1.54166,    3.33333,  -12.77778,   -1.66667,   30.00000,    0.00000,    0.00000,    8.04500
  -2.75433,   19.15198,   -0.55556,   -2.77778,   -1.11111,   85.00000,    0.50000,    1.01600,   14.48100
  -3.57326,   26.43371,    1.11111,   -0.55556,    0.55556,   89.00000,    1.00000,    1.01600,   16.09000
  -4.53256,    3.41708,    0.00000,   -5.55556,   -1.66667,   66.00000,    1.00000,    0.00000,    9.65400
  -2.94866,    6.60244,    0.55556,   -3.88889,   -1.11111,   72.00000,    0.20000,    0.00000,   16.09000
  26.64421,   16.61972,   13.33333,    6.11111,   10.00000,   62.00000,    0.20000,    0.00000,    0.00000
