n	status	R2	AICc	nFeatures	features	b0_std	b0_raw	apparentTempC_std	apparentTempC_raw	apparentMinusTemp_std	apparentMinusTemp_raw	tempMinusWetBulb_std	tempMinusWetBulb_raw	wetBulbMinusDewPoint_std	wetBulbMinusDewPoint_raw	humidity_std	humidity_raw	stationPressurePa_std	stationPressurePa_raw	windSpeedKPH_std	windSpeedKPH_raw	precipProbability_std	precipProbability_raw	precipitationMM_std	precipitationMM_raw	cloudCover_std	cloudCover_raw	cloudCoverLow_std	cloudCoverLow_raw	cloudCoverMedium_std	cloudCoverMedium_raw	cloudCoverHigh_std	cloudCoverHigh_raw	uvIndex_std	uvIndex_raw	isDaylight_std	isDaylight_raw	activity_std	activity_raw	dress_std	dress_raw	sun_std	sun_raw	m	h_lower	h_upper	h_min	h_mean	h_max	n_inRange	n_blended	n_extrapolated
5	MODEL	0.0723	28.7501	1	apparentTempC	1.3530	2.9677	-2.0350	-0.1471																																			2	0.8000	1.2000	0.2174	0.4000	0.7259	5	0	0
6	MODEL	0.0547	31.6570	1	apparentTempC	3.1614	4.8273	-1.8922	-0.1529																																			2	0.6667	1.0000	0.1669	0.3333	0.6968	5	1	0
7	MODEL	0.0600	33.6001	1	apparentTempC	3.5265	5.1979	-1.8246	-0.1605																																			2	0.5714	0.8571	0.1429	0.2857	0.6916	6	1	0
8	MODEL	0.0399	35.9939	1	apparentTempC	3.2634	4.4220	-1.3854	-0.1255																																			2	0.5000	0.7500	0.1268	0.2500	0.6823	7	1	0
9	MODEL	0.0456	38.3412	1	apparentTempC	3.5549	4.7340	-1.3983	-0.1343																																			2	0.4444	0.6667	0.1129	0.2222	0.6819	8	0	1
10	MODEL	0.6359	35.7758	2	apparentTempC,precipitationMM	3.0992	0.9146	7.9808	0.7781															-10.1352	-14.0202																			3	0.6000	0.9000	0.1193	0.3000	0.9673	9	0	1
11	MODEL	0.5821	38.4545	2	apparentTempC,precipitationMM	3.3490	1.8036	6.9206	0.6893															-9.1058	-13.1785																			3	0.5455	0.8182	0.1063	0.2727	0.9671	10	0	1
12	MODEL	0.5235	41.4393	2	apparentTempC,precipitationMM	3.5877	2.4206	5.1765	0.4640															-6.9710	-10.5165																			3	0.5000	0.7500	0.0990	0.2500	0.9638	10	1	1
13	MODEL	0.5067	49.1981	2	apparentTempC,apparentMinusTemp	2.4015	-2.2573	19.0397	1.6900	-18.6798	-1.5755																																	3	0.4615	0.6923	0.0815	0.2308	0.4514	13	0	0
14	MODEL	0.5471	52.0527	2	apparentTempC,apparentMinusTemp	1.6486	-3.0214	19.9801	1.8242	-19.3086	-1.6899																																	3	0.4286	0.6429	0.0736	0.2143	0.4510	13	1	0
