n	status	R2	AICc	nFeatures	features	b0_std	b0_raw	apparentTempC_std	apparentTempC_raw	apparentMinusTemp_std	apparentMinusTemp_raw	tempMinusWetBulb_std	tempMinusWetBulb_raw	wetBulbMinusDewPoint_std	wetBulbMinusDewPoint_raw	humidity_std	humidity_raw	stationPressurePa_std	stationPressurePa_raw	windSpeedKPH_std	windSpeedKPH_raw	precipProbability_std	precipProbability_raw	precipitationMM_std	precipitationMM_raw	cloudCover_std	cloudCover_raw	cloudCoverLow_std	cloudCoverLow_raw	cloudCoverMedium_std	cloudCoverMedium_raw	cloudCoverHigh_std	cloudCoverHigh_raw	uvIndex_std	uvIndex_raw	isDaylight_std	isDaylight_raw	activity_std	activity_raw	dress_std	dress_raw	sun_std	sun_raw	m	h_lower	h_upper	h_min	h_mean	h_max	n_inRange	n_blended	n_extrapolated
5	MODEL	0.9859	18.4683	1	apparentTempC	11.2331	-3.7284	21.7692	2.0413																																			2	0.8000	1.2000	0.2336	0.4000	0.5072	5	0	0
6	MODEL	0.9830	18.3507	1	apparentTempC	9.9092	-3.0817	19.7063	2.0149																																			2	0.6667	1.0000	0.1859	0.3333	0.5041	6	0	0
7	MODEL	0.9827	18.9732	1	apparentTempC	12.3878	-2.9476	19.1254	2.0454																																			2	0.5714	0.8571	0.1746	0.2857	0.4018	7	0	0
8	MODEL	0.9726	23.6408	1	apparentTempC	14.6542	-2.8105	18.7160	1.9391																																			2	0.5000	0.7500	0.1602	0.2500	0.3303	8	0	0
9	MODEL	0.9722	24.6922	1	apparentTempC	15.6186	-2.8882	17.7348	1.9263																																			2	0.4444	0.6667	0.1370	0.2222	0.3296	9	0	0
10	MODEL	0.9896	20.1047	2	apparentTempC,windSpeedKPH	14.9337	-0.1433	17.8966	2.0337											-2.5300	-0.3850																							3	0.6000	0.9000	0.1514	0.3000	0.5446	10	0	0
11	MODEL	0.9904	21.3701	2	apparentTempC,windSpeedKPH	12.3215	-0.0927	18.5384	1.9804											-2.1542	-0.3195																							3	0.5455	0.8182	0.1064	0.2727	0.4730	11	0	0
12	MODEL	0.9901	21.6447	2	apparentTempC,windSpeedKPH	11.3990	-0.3839	18.0305	1.9870											-2.0245	-0.3069																							3	0.5000	0.7500	0.0991	0.2500	0.4675	12	0	0
13	MODEL	0.9903	21.3602	2	apparentTempC,windSpeedKPH	12.0058	-0.3401	17.3588	1.9884											-1.9998	-0.3101																							3	0.4615	0.6923	0.0967	0.2308	0.4632	12	1	0
14	MODEL	0.9887	23.8651	2	apparentTempC,windSpeedKPH	10.9900	-0.1773	17.0010	1.9626											-1.7881	-0.2850																							3	0.4286	0.6429	0.0838	0.2143	0.4433	13	1	0
15	MODEL	0.9931	20.3231	3	apparentTempC,windSpeedKPH,cloudCover	10.5420	0.5463	17.2735	2.0347											-1.7678	-0.2712					-1.4486	-3.5403																	4	0.5333	0.8000	0.1468	0.2667	0.4446	15	0	0
16	MODEL	0.9931	19.6647	3	apparentTempC,windSpeedKPH,cloudCover	10.8728	0.6299	16.7041	2.0348											-1.8669	-0.2799					-1.3774	-3.4643																	4	0.5000	0.7500	0.1461	0.2500	0.4432	16	0	0
17	MODEL	0.9930	19.7257	3	apparentTempC,windSpeedKPH,cloudCover	10.1118	0.4127	16.6257	2.0399											-1.8136	-0.2683					-1.3424	-3.4095																	4	0.4706	0.7059	0.1436	0.2353	0.4202	17	0	0
18	MODEL	0.9930	19.1163	3	apparentTempC,windSpeedKPH,cloudCover	10.5147	0.3893	16.1843	2.0355											-1.7780	-0.2705					-1.2796	-3.2863																	4	0.4444	0.6667	0.1261	0.2222	0.4164	18	0	0
19	MODEL	0.9929	20.5344	3	apparentTempC,windSpeedKPH,cloudCover	9.3565	0.4651	16.4585	2.0164											-1.6353	-0.2490					-1.3010	-3.3816																	4	0.4211	0.6316	0.1121	0.2105	0.4155	19	0	0
