rating, appC, dryC, dewC, wetC, rh%, cldc, precmm, windkph
  49.36078,   31.90386,   19.44444,   15.00000,   16.66667,   76.00000,    0.00000,    0.00000,    0.00000
  42.21363,   27.88048,   27.77778,   18.88889,   21.66667,   58.00000,    0.00000,    0.00000,    8.04500
  47.13768,   30.40887,   26.11111,   19.44444,   21.66667,   67.00000,    0.20000,    0.00000,    8.04500
  52.88142,   33.19341,   29.44444,   21.66667,   23.88889,   63.00000,    0.00000,    0.00000,    0.00000
  33.01492,   24.13165,   27.22222,   15.55556,   20.00000,   49.00000,    0.00000,    0.00000,   11.26300
  43.69194,   28.31355,   30.55556,   18.88889,   22.77778,   50.00000,    0.00000,    0.00000,    8.04500
  44.80614,   28.88565,   27.22222,   18.33333,   21.66667,   58.00000,    0.00000,    0.00000,    0.00000
  31.43187,   22.74223,   17.22222,   11.11111,   13.88889,   68.00000,    0.75000,    0.00000,    4.82700
  31.38430,   29.14330,   22.77778,   17.77778,   19.44444,   74.00000,    0.20000,    2.28600,   22.52600
  31.10657,   22.32488,   21.66667,   12.22222,   16.11111,   55.00000,    1.00000,    0.00000,    0.00000
  26.70793,   20.22363,   22.77778,   11.66667,   16.11111,   50.00000,    0.50000,    0.00000,    9.65400
  45.98226,   26.66343,   25.00000,   16.11111,   19.44444,   58.00000,    0.00000,    0.00000,    0.00000
  35.09252,   22.67350,   17.77778,   11.66667,   14.44444,   68.00000,    0.00000,    0.00000,    8.04500
  81.37507,   62.08087,   18.33333,   17.77778,   17.77778,   97.00000,    0.00000,    0.00000,    0.00000
  45.97829,   28.93784,   30.55556,   18.88889,   22.77778,   50.00000,    0.00000,    0.00000,    4.82700
  25.31239,   19.40173,   22.77778,   10.55556,   15.55556,   46.00000,    0.20000,    0.00000,    9.65400
  59.34435,   39.81147,   24.44444,   20.55556,   21.66667,   79.00000,    0.00000,    0.00000,    0.00000
  55.65368,   32.08230,   28.33333,   20.55556,   23.33333,   63.00000,    0.00000,    0.00000,    0.00000
  49.80451,   31.30968,   30.00000,   20.55556,   23.33333,   57.00000,    0.00000,    0.00000,    0.00000
  28.21245,   23.02496,   22.22222,   15.00000,   17.77778,   64.00000,    0.50000,    0.00000,   17.69900
  29.80965,   19.54461,   22.22222,   10.55556,   15.55556,   48.00000,    0.00000,    0.00000,    8.04500
  41.93458,   32.00980,   21.11111,   16.66667,   18.33333,   76.00000,    0.00000,    0.00000,    8.04500
  66.17571,   48.97993,   18.88889,   17.22222,   17.77778,   90.00000,    0.20000,    0.00000,    0.00000
  28.06994,   20.10017,   22.77778,   11.11111,   16.11111,   48.00000,    0.20000,    0.00000,    8.04500
  37.20019,   26.25097,   27.77778,   17.77778,   21.11111,   55.00000,    0.00000,    0.00000,   11.26300
  35.21178,   21.73644,   18.88889,   11.11111,   14.44444,   61.00000,    0.20000,    0.00000,    0.00000
  49.75715,   29.99423,   31.11111,   18.88889,   22.77778,   48.00000,    0.00000,    0.00000,    0.00000
  59.39613,   39.12609,   26.66667,   22.22222,   23.88889,   76.00000,    0.20000,    0.25400,    0.00000
  48.33470,   28.75267,   27.77778,   18.33333,   21.66667,   56.00000,    0.20000,    0.00000,    0.00000
  51.81034,   31.90386,   19.44444,   15.00000,   16.66667,   76.00000,    0.00000,    0.00000,    0.00000
  51.43414,   33.24156,   18.88889,   15.00000,   16.66667,   78.00000,    0.00000,    0.00000,    0.00000
  45.60062,   25.91438,   25.55556,   15.55556,   19.44444,   54.00000,    0.00000,    0.00000,    0.00000
  25.92690,   19.52507,   22.77778,   12.22222,   16.66667,   51.00000,    0.50000,    0.00000,   14.48100
  54.65554,   33.25538,   28.33333,   21.66667,   23.88889,   67.00000,    0.00000,    0.00000,    4.82700
  28.51574,   20.89224,   24.44444,   11.66667,   16.66667,   45.00000,    0.20000,    0.00000,    9.65400
  42.01222,   28.85770,   23.33333,   17.22222,   19.44444,   69.00000,    0.00000,    0.00000,    8.04500
  19.63443,   18.37157,   18.33333,   10.55556,   13.88889,   61.00000,    0.75000,    0.00000,   14.48100
  47.76198,   29.60794,   31.11111,   18.33333,   22.77778,   46.00000,    0.00000,    0.00000,    0.00000
  34.19773,   22.29199,   19.44444,   11.66667,   15.00000,   61.00000,    0.50000,    0.00000,    0.00000
  45.91727,   32.00980,   21.11111,   16.66667,   18.33333,   76.00000,    0.00000,    0.00000,    8.04500
  37.89720,   24.47919,   21.66667,   14.44444,   17.22222,   63.00000,    0.00000,    0.00000,    4.82700
  22.87899,   18.56910,   19.44444,   10.55556,   14.44444,   57.00000,    0.20000,    0.00000,   11.26300
  47.96075,   35.95979,   22.77778,   18.88889,   20.55556,   79.00000,    0.00000,    0.00000,   11.26300
