rating, appC, dryC, dewC, wetC, rh%, cldc, precmm, windkph
  33.63903,   21.73644,   18.88889,   11.11111,   14.44444,   61.00000,    0.20000,    0.00000,    0.00000
  45.19610,   33.25538,   28.33333,   21.66667,   23.88889,   67.00000,    0.00000,    0.00000,    4.82700
  42.98336,   30.06977,   27.22222,   18.88889,   21.66667,   61.00000,    0.00000,    0.00000,    0.00000
  31.70759,   22.29199,   19.44444,   11.66667,   15.00000,   61.00000,    0.50000,    0.00000,    0.00000
  37.21588,   34.84867,   21.66667,   17.77778,   19.44444,   79.00000,    0.00000,    0.00000,   11.26300
  39.95982,   31.90386,   19.44444,   15.00000,   16.66667,   76.00000,    0.00000,    0.00000,    0.00000
  43.41962,   27.88048,   27.77778,   18.88889,   21.66667,   58.00000,    0.00000,    0.00000,    8.04500
  39.35190,   35.54170,   21.11111,   17.22222,   18.88889,   79.00000,    0.00000,    0.00000,    4.82700
  45.91482,   28.54254,   26.11111,   17.77778,   20.55556,   60.00000,    0.00000,    0.00000,    0.00000
  37.68285,   26.25097,   27.77778,   17.77778,   21.11111,   55.00000,    0.00000,    0.00000,   11.26300
  50.87238,   33.08071,   27.22222,   20.55556,   22.77778,   67.00000,    0.00000,    0.00000,    0.00000
  48.25550,   33.99523,   25.55556,   20.00000,   21.66667,   71.00000,    0.00000,    0.00000,    0.00000
  29.99441,   19.54461,   22.22222,   10.55556,   15.55556,   48.00000,    0.00000,    0.00000,    8.04500
  32.28959,   20.33817,   22.77778,   10.55556,   15.55556,   46.00000,    0.00000,    0.00000,    4.82700
  45.32903,   36.89205,   24.44444,   20.00000,   21.66667,   77.00000,    0.00000,    0.00000,    4.82700
  23.14447,   15.87480,   20.00000,    8.33333,   13.88889,   47.00000,    0.00000,    0.00000,   14.48100
  31.89493,   22.67350,   17.77778,   11.66667,   14.44444,   68.00000,    0.00000,    0.00000,    8.04500
  30.16011,   21.49365,   17.22222,   11.11111,   13.88889,   68.00000,    0.00000,    0.00000,   11.26300
  43.56044,   28.31355,   30.55556,   18.88889,   22.77778,   50.00000,    0.00000,    0.00000,    8.04500
  32.41972,   20.66772,   21.11111,   10.55556,   15.00000,   51.00000,    0.00000,    0.00000,    0.00000
  51.87782,   31.30968,   30.00000,   20.55556,   23.33333,   57.00000,    0.00000,    0.00000,    0.00000
  41.61389,   48.97993,   18.88889,   17.22222,   17.77778,   90.00000,    0.20000,    0.00000,    0.00000
  29.71143,   19.40173,   22.77778,   10.55556,   15.55556,   46.00000,    0.20000,    0.00000,    9.65400
  24.85619,   20.73126,   19.44444,   11.66667,   15.00000,   61.00000,    1.00000,    0.00000,    8.04500
  53.23391,   29.60794,   31.11111,   18.33333,   22.77778,   46.00000,    0.00000,    0.00000,    0.00000
  37.66889,   31.90386,   19.44444,   15.00000,   16.66667,   76.00000,    0.00000,    0.00000,    0.00000
  21.29531,   18.37157,   18.33333,   10.55556,   13.88889,   61.00000,    0.75000,    0.00000,   14.48100
  49.78578,   39.81147,   24.44444,   20.55556,   21.66667,   79.00000,    0.00000,    0.00000,    0.00000
  38.98672,   25.92157,   28.33333,   13.33333,   18.88889,   40.00000,    0.00000,    0.00000,    0.00000
  40.30058,   32.00980,   21.11111,   16.66667,   18.33333,   76.00000,    0.00000,    0.00000,    8.04500
  32.29135,   18.23450,   21.11111,    9.44444,   14.44444,   47.00000,    0.00000,    0.00000,    8.04500
  25.59067,   16.74232,   18.88889,   10.00000,   13.88889,   56.00000,    0.00000,    0.00000,   16.09000
  34.43262,   20.11216,   20.55556,   10.00000,   14.44444,   51.00000,    0.20000,    0.00000,    0.00000
  50.10406,   34.30732,   27.22222,   21.11111,   23.33333,   69.00000,    0.00000,    0.00000,    0.00000
  41.88648,   32.67635,   24.44444,   18.88889,   21.11111,   72.00000,    0.00000,    0.00000,    4.82700
  53.06872,   32.08230,   28.33333,   20.55556,   23.33333,   63.00000,    0.00000,    0.00000,    0.00000
  31.72588,   22.32488,   21.66667,   12.22222,   16.11111,   55.00000,    1.00000,    0.00000,    0.00000
  27.79776,   20.18187,   21.66667,   11.66667,   16.11111,   53.00000,    1.00000,    0.00000,    8.04500
  52.40528,   30.89372,   33.33333,   20.00000,   24.44444,   46.00000,    0.00000,    0.00000,    4.82700
  36.39048,   26.23884,   23.88889,   16.11111,   18.88889,   62.00000,    0.00000,    0.00000,    4.82700
  33.67314,   27.30597,   23.88889,   17.22222,   19.44444,   66.00000,    0.50000,    0.00000,    9.65400
  38.21295,   35.95979,   22.77778,   18.88889,   20.55556,   79.00000,    0.00000,    0.00000,   11.26300
  29.88088,   20.89224,   24.44444,   11.66667,   16.66667,   45.00000,    0.20000,    0.00000,    9.65400
  47.24883,   29.99423,   31.11111,   18.88889,   22.77778,   48.00000,    0.00000,    0.00000,    0.00000
  44.44741,   26.66343,   25.00000,   16.11111,   19.44444,   58.00000,    0.00000,    0.00000,    0.00000
  28.16594,   23.71872,   16.11111,   11.11111,   13.33333,   72.00000,    0.00000,    0.00000,    8.04500
  45.36822,   29.95305,   26.66667,   18.88889,   21.66667,   62.00000,    0.00000,    0.00000,    0.00000
  39.75250,   28.85770,   23.33333,   17.22222,   19.44444,   69.00000,    0.00000,    0.00000,    8.04500
  38.84795,   29.65672,   22.77778,   17.22222,   19.44444,   71.00000,    0.00000,    0.00000,    8.04500
  39.98726,   24.31872,   25.00000,   13.88889,   18.33333,   50.00000,    0.00000,    0.00000,    0.00000
  46.79789,   41.02852,   27.22222,   23.33333,   24.44444,   79.00000,    0.20000,    0.50800,    8.04500
  22.69030,   29.14330,   22.77778,   17.77778,   19.44444,   74.00000,    0.20000,    2.28600,   22.52600
  46.63386,   62.08087,   18.33333,   17.77778,   17.77778,   97.00000,    0.00000,    0.00000,    0.00000
  28.60226,   22.74223,   17.22222,   11.11111,   13.88889,   68.00000,    0.75000,    0.00000,    4.82700
  27.81703,   16.83778,   20.55556,    7.77778,   13.88889,   44.00000,    0.00000,    0.00000,    9.65400
  42.92780,   30.48870,   20.55556,   15.55556,   17.77778,   73.00000,    0.00000,    0.00000,    0.00000
