n	status	R2	AICc	nFeatures	features	b0_std	b0_raw	apparentTempC_std	apparentTempC_raw	apparentMinusTemp_std	apparentMinusTemp_raw	tempMinusWetBulb_std	tempMinusWetBulb_raw	wetBulbMinusDewPoint_std	wetBulbMinusDewPoint_raw	humidity_std	humidity_raw	stationPressurePa_std	stationPressurePa_raw	windSpeedKPH_std	windSpeedKPH_raw	precipProbability_std	precipProbability_raw	precipitationMM_std	precipitationMM_raw	cloudCover_std	cloudCover_raw	cloudCoverLow_std	cloudCoverLow_raw	cloudCoverMedium_std	cloudCoverMedium_raw	cloudCoverHigh_std	cloudCoverHigh_raw	uvIndex_std	uvIndex_raw	isDaylight_std	isDaylight_raw	activity_std	activity_raw	dress_std	dress_raw	sun_std	sun_raw	m	h_lower	h_upper	h_min	h_mean	h_max	n_inRange	n_blended	n_extrapolated
5	MODEL	0.5497	22.5173	1	apparentTempC	38.1484	18.0667	4.3189	0.7061																																			2	0.8000	1.2000	0.2177	0.4000	0.5003	5	0	0
6	MODEL	0.5563	21.9575	1	apparentTempC	38.4503	18.2936	3.9251	0.6946																																			2	0.6667	1.0000	0.1736	0.3333	0.4988	6	0	0
7	MODEL	0.4383	24.8517	1	apparentTempC	39.1602	20.1240	3.4148	0.6597																																			2	0.5714	0.8571	0.1488	0.2857	0.4581	7	0	0
8	MODEL	0.3599	26.7800	1	apparentTempC	39.1842	23.2637	2.8652	0.5362																																			2	0.5000	0.7500	0.1257	0.2500	0.4416	8	0	0
9	MODEL	0.2503	31.3144	1	apparentTempC	39.9320	25.1829	2.5010	0.4989																																			2	0.4444	0.6667	0.1124	0.2222	0.4158	9	0	0
10	MODEL	0.7466	26.4519	2	apparentTempC,humidity	39.7071	38.5006	6.3988	1.3218							-5.1455	-56.9734																											3	0.6000	0.9000	0.1756	0.3000	0.4858	10	0	0
11	MODEL	0.7179	32.5095	2	apparentTempC,humidity	40.7221	37.9350	7.2620	1.5330							-5.5466	-64.6683																											3	0.5455	0.8182	0.1566	0.2727	0.4740	11	0	0
12	MODEL	0.7187	34.9195	2	apparentTempC,humidity	41.3499	36.4555	7.5752	1.6142							-5.4526	-65.5874																											3	0.5000	0.7500	0.1509	0.2500	0.4687	12	0	0
13	MODEL	0.7528	37.6499	2	apparentTempC,apparentMinusTemp	40.4764	-1.1921	8.5094	1.5935	-5.2176	-0.9396																																	3	0.4615	0.6923	0.1100	0.2308	0.3465	13	0	0
14	MODEL	0.7787	38.7068	2	apparentTempC,apparentMinusTemp	39.8916	-1.9174	9.1196	1.6155	-5.3427	-0.9370																																	3	0.4286	0.6429	0.1026	0.2143	0.3077	14	0	0
15	MODEL	0.9357	25.6332	3	apparentTempC,apparentMinusTemp,windSpeedKPH	40.2541	-2.0090	10.0789	1.7219	-6.3730	-1.0874									-2.5119	-0.5913																							4	0.5333	0.8000	0.1800	0.2667	0.4920	15	0	0
16	MODEL	0.9542	25.9231	3	apparentTempC,apparentMinusTemp,windSpeedKPH	39.1848	-0.9121	10.9783	1.6766	-6.5071	-1.0647									-2.6764	-0.5475																							4	0.5000	0.7500	0.1521	0.2500	0.4843	16	0	0
