rating, appC, dryC, dewC, wetC, rh%, cldc, precmm, windkph
  69.49573,   34.81147,   19.44444,   15.55556,   17.22222,   79.00000,    0.00000,    0.00000,    0.00000
  38.21770,   20.73126,   19.44444,   11.66667,   15.00000,   61.00000,    1.00000,    0.00000,    8.04500
  53.44477,   28.67150,   31.11111,   18.33333,   22.77778,   46.00000,    0.00000,    0.00000,    4.82700
  33.23836,   19.36520,   18.88889,   10.55556,   14.44444,   59.00000,    0.75000,    0.00000,    8.04500
  55.68388,   27.88048,   27.77778,   18.88889,   21.66667,   58.00000,    0.00000,    0.00000,    8.04500
  63.31512,   33.25538,   28.33333,   21.66667,   23.88889,   67.00000,    0.00000,    0.00000,    4.82700
  41.48286,   20.10017,   22.77778,   11.11111,   16.11111,   48.00000,    0.20000,    0.00000,    8.04500
  32.54316,   16.81105,   18.33333,    9.44444,   13.33333,   56.00000,    0.00000,    0.00000,   12.87200
  43.48957,   24.47919,   21.66667,   14.44444,   17.22222,   63.00000,    0.00000,    0.00000,    4.82700
  22.71732,   15.87480,   20.00000,    8.33333,   13.88889,   47.00000,    0.00000,    0.00000,   14.48100
  43.64599,   23.02496,   22.22222,   15.00000,   17.77778,   64.00000,    0.50000,    0.00000,   17.69900
  53.24911,   26.66343,   25.00000,   16.11111,   19.44444,   58.00000,    0.00000,    0.00000,    0.00000
  60.17988,   30.89372,   33.33333,   20.00000,   24.44444,   46.00000,    0.00000,    0.00000,    4.82700
  41.13636,   21.21377,   20.55556,   11.11111,   15.00000,   55.00000,    0.00000,    0.00000,    0.00000
  58.29809,   29.95305,   26.66667,   18.88889,   21.66667,   62.00000,    0.00000,    0.00000,    0.00000
  67.97636,   36.89205,   24.44444,   20.00000,   21.66667,   77.00000,    0.00000,    0.00000,    4.82700
  60.72321,   31.30968,   30.00000,   20.55556,   23.33333,   57.00000,    0.00000,    0.00000,    0.00000
  39.62399,   22.29199,   19.44444,   11.66667,   15.00000,   61.00000,    0.50000,    0.00000,    0.00000
  47.59251,   25.34746,   21.11111,   13.88889,   16.66667,   64.00000,    1.00000,    0.00000,    0.00000
  41.61106,   20.94354,   24.44444,   12.22222,   17.22222,   47.00000,    0.50000,    0.00000,   11.26300
  55.94801,   30.40887,   26.11111,   19.44444,   21.66667,   67.00000,    0.20000,    0.00000,    8.04500
  53.92050,   28.43006,   24.44444,   17.77778,   20.00000,   67.00000,    0.00000,    0.00000,    9.65400
  52.86523,   28.85770,   23.33333,   17.22222,   19.44444,   69.00000,    0.00000,    0.00000,    8.04500
  61.81825,   32.00980,   21.11111,   16.66667,   18.33333,   76.00000,    0.00000,    0.00000,    8.04500
  65.62516,   33.24156,   18.88889,   15.00000,   16.66667,   78.00000,    0.00000,    0.00000,    0.00000
  58.47561,   29.60794,   31.11111,   18.33333,   22.77778,   46.00000,    0.00000,    0.00000,    0.00000
  40.28383,   24.13165,   27.22222,   15.55556,   20.00000,   49.00000,    0.00000,    0.00000,   11.26300
  41.34716,   22.74223,   17.22222,   11.11111,   13.88889,   68.00000,    0.75000,    0.00000,    4.82700
  32.12392,   18.23450,   21.11111,    9.44444,   14.44444,   47.00000,    0.00000,    0.00000,    8.04500
  72.44573,   39.12609,   26.66667,   22.22222,   23.88889,   76.00000,    0.20000,    0.25400,    0.00000
  64.16272,   34.84867,   21.66667,   17.77778,   19.44444,   79.00000,    0.00000,    0.00000,   11.26300
  51.60030,   27.30597,   23.88889,   17.22222,   19.44444,   66.00000,    0.50000,    0.00000,    9.65400
  67.23068,   34.30732,   27.22222,   21.11111,   23.33333,   69.00000,    0.00000,    0.00000,    0.00000
  64.33375,   35.54170,   21.11111,   17.22222,   18.88889,   79.00000,    0.00000,    0.00000,    4.82700
  40.36169,   20.11216,   20.55556,   10.00000,   14.44444,   51.00000,    0.20000,    0.00000,    0.00000
  32.71944,   18.37157,   18.33333,   10.55556,   13.88889,   61.00000,    0.75000,    0.00000,   14.48100
  55.92406,   29.37759,   19.44444,   14.44444,   16.66667,   73.00000,    1.00000,    0.12700,    0.00000
  39.14430,   20.89224,   24.44444,   11.66667,   16.66667,   45.00000,    0.20000,    0.00000,    9.65400
  28.98641,   16.83778,   20.55556,    7.77778,   13.88889,   44.00000,    0.00000,    0.00000,    9.65400
  88.86329,   48.97993,   18.88889,   17.22222,   17.77778,   90.00000,    0.20000,    0.00000,    0.00000
  37.51159,   20.42514,   24.44444,   10.55556,   16.66667,   42.00000,    0.00000,    0.00000,    9.65400
  55.39102,   29.99423,   31.11111,   18.88889,   22.77778,   48.00000,    0.00000,    0.00000,    0.00000
  59.67812,   31.90386,   19.44444,   15.00000,   16.66667,   76.00000,    0.00000,    0.00000,    0.00000
  68.74462,   37.44760,   25.00000,   20.55556,   22.22222,   77.00000,    0.20000,    0.00000,    4.82700
  60.18528,   31.49134,   33.33333,   21.11111,   25.00000,   49.00000,    0.00000,    0.00000,    4.82700
  39.02697,   19.54461,   22.22222,   10.55556,   15.55556,   48.00000,    0.00000,    0.00000,    8.04500
  49.56490,   28.31355,   30.55556,   18.88889,   22.77778,   50.00000,    0.00000,    0.00000,    8.04500
  42.14310,   21.73644,   18.88889,   11.11111,   14.44444,   61.00000,    0.20000,    0.00000,    0.00000
  65.23097,   35.95979,   22.77778,   18.88889,   20.55556,   79.00000,    0.00000,    0.00000,   11.26300
  51.10776,   25.92157,   28.33333,   13.33333,   18.88889,   40.00000,    0.00000,    0.00000,    0.00000
  53.78379,   28.88565,   27.22222,   18.33333,   21.66667,   58.00000,    0.00000,    0.00000,    0.00000
  37.79323,   21.49365,   17.22222,   11.11111,   13.88889,   68.00000,    0.00000,    0.00000,   11.26300
  67.50054,   33.19341,   29.44444,   21.66667,   23.88889,   63.00000,    0.00000,    0.00000,    0.00000
  34.87997,   18.09292,   17.22222,    9.44444,   12.77778,   60.00000,    0.00000,    0.00000,    8.04500
  75.03942,   41.02852,   27.22222,   23.33333,   24.44444,   79.00000,    0.20000,    0.50800,    8.04500
  48.94806,   26.23884,   23.88889,   16.11111,   18.88889,   62.00000,    0.00000,    0.00000,    4.82700
  39.47742,   22.32488,   21.66667,   12.22222,   16.11111,   55.00000,    1.00000,    0.00000,    0.00000
  96.79919,   53.53031,   25.00000,   23.33333,   23.88889,   90.00000,    0.20000,    2.03200,    8.04500
  59.65847,   32.67635,   24.44444,   18.88889,   21.11111,   72.00000,    0.00000,    0.00000,    4.82700
  36.53772,   20.22363,   22.77778,   11.66667,   16.11111,   50.00000,    0.50000,    0.00000,    9.65400
  50.92930,   25.91438,   25.55556,   15.55556,   19.44444,   54.00000,    0.00000,    0.00000,    0.00000
  58.50235,   29.65672,   22.77778,   17.22222,   19.44444,   71.00000,    0.00000,    0.00000,    8.04500
  58.87754,   30.06977,   27.22222,   18.88889,   21.66667,   61.00000,    0.00000,    0.00000,    0.00000
  53.24799,   28.75267,   27.77778,   18.33333,   21.66667,   56.00000,    0.20000,    0.00000,    0.00000
  37.80569,   20.18187,   21.66667,   11.66667,   16.11111,   53.00000,    1.00000,    0.00000,    8.04500
  37.04118,   20.67630,   26.11111,    7.77778,   16.11111,   31.00000,    0.00000,    0.00000,   11.26300
  33.73507,   18.19156,   23.33333,    8.33333,   15.00000,   38.00000,    0.00000,    0.00000,   12.87200
  73.47499,   39.81147,   24.44444,   20.55556,   21.66667,   79.00000,    0.00000,    0.00000,    0.00000
  46.60719,   24.31872,   25.00000,   13.88889,   18.33333,   50.00000,    0.00000,    0.00000,    0.00000
  40.86053,   22.89872,   21.66667,   15.00000,   17.77778,   66.00000,    0.20000,    0.12700,   20.91700
  56.01942,   28.54254,   26.11111,   17.77778,   20.55556,   60.00000,    0.00000,    0.00000,    0.00000
  71.69962,   36.89205,   24.44444,   20.00000,   21.66667,   77.00000,    0.00000,    0.00000,    4.82700
  32.72634,   16.74232,   18.88889,   10.00000,   13.88889,   56.00000,    0.00000,    0.00000,   16.09000
  66.35530,   33.08071,   27.22222,   20.55556,   22.77778,   67.00000,    0.00000,    0.00000,    0.00000
  48.52859,   26.25097,   27.77778,   17.77778,   21.11111,   55.00000,    0.00000,    0.00000,   11.26300
  54.42437,   28.93784,   30.55556,   18.88889,   22.77778,   50.00000,    0.00000,    0.00000,    4.82700
  48.30548,   26.50700,   22.77778,   16.11111,   18.88889,   66.00000,    0.00000,    0.00000,    8.04500
  42.64077,   22.67350,   17.77778,   11.66667,   14.44444,   68.00000,    0.00000,    0.00000,    8.04500
  62.21585,   30.48870,   20.55556,   15.55556,   17.77778,   73.00000,    0.00000,    0.00000,    0.00000
