n	status	R2	AICc	nFeatures	features	b0_std	b0_raw	apparentTempC_std	apparentTempC_raw	apparentMinusTemp_std	apparentMinusTemp_raw	tempMinusWetBulb_std	tempMinusWetBulb_raw	wetBulbMinusDewPoint_std	wetBulbMinusDewPoint_raw	humidity_std	humidity_raw	stationPressurePa_std	stationPressurePa_raw	windSpeedKPH_std	windSpeedKPH_raw	precipProbability_std	precipProbability_raw	precipitationMM_std	precipitationMM_raw	cloudCover_std	cloudCover_raw	cloudCoverLow_std	cloudCoverLow_raw	cloudCoverMedium_std	cloudCoverMedium_raw	cloudCoverHigh_std	cloudCoverHigh_raw	uvIndex_std	uvIndex_raw	isDaylight_std	isDaylight_raw	activity_std	activity_raw	dress_std	dress_raw	sun_std	sun_raw	m	h_lower	h_upper	h_min	h_mean	h_max	n_inRange	n_blended	n_extrapolated
5	MODEL	0.9883	13.4229	1	apparentTempC	50.0161	-10.0772	14.4405	2.2856																																			2	0.8000	1.2000	0.2158	0.4000	0.6546	5	0	0
6	MODEL	0.9854	13.2811	1	apparentTempC	52.2326	-8.4300	13.9782	2.2097																																			2	0.6667	1.0000	0.1676	0.3333	0.4936	6	0	0
7	MODEL	0.9674	18.3650	1	apparentTempC	50.6969	-3.9329	13.2600	2.0691																																			2	0.5714	0.8571	0.1517	0.2857	0.4298	7	0	0
8	MODEL	0.9729	18.7347	1	apparentTempC	48.4277	-2.6269	13.8432	2.0257																																			2	0.5000	0.7500	0.1469	0.2500	0.4074	8	0	0
9	MODEL	0.9657	21.0810	1	apparentTempC	47.8790	-3.1840	13.0020	2.0325																																			2	0.4444	0.6667	0.1124	0.2222	0.3978	9	0	0
10	MODEL	0.9606	26.2040	1	apparentTempC	45.3628	-6.9908	14.5017	2.1635																																			2	0.4000	0.6000	0.1002	0.2000	0.3786	10	0	0
11	MODEL	0.9604	27.0766	1	apparentTempC	45.2068	-6.8641	13.7651	2.1614																																			2	0.3636	0.5455	0.0913	0.1818	0.3742	10	1	0
12	MODEL	0.9588	28.6527	1	apparentTempC	45.8770	-7.0029	13.3092	2.1756																																			2	0.3333	0.5000	0.0834	0.1667	0.3514	11	1	0
13	MODEL	0.9623	29.4222	1	apparentTempC	46.9772	-6.9952	13.3458	2.1752																																			2	0.3077	0.4615	0.0772	0.1538	0.2983	13	0	0
14	MODEL	0.9612	30.7233	1	apparentTempC	46.5600	-6.5016	12.9063	2.1609																																			2	0.2857	0.4286	0.0714	0.1429	0.2982	13	1	0
15	MODEL	0.9633	31.4292	1	apparentTempC	47.3425	-6.5157	12.8008	2.1617																																			2	0.2667	0.4000	0.0671	0.1333	0.2662	15	0	0
16	MODEL	0.9613	35.4290	1	apparentTempC	48.6321	-4.4226	13.3488	2.0673																																			2	0.2500	0.3750	0.0641	0.1250	0.2641	15	1	0
17	MODEL	0.9630	36.2640	1	apparentTempC	49.3434	-4.4863	13.2530	2.0707																																			2	0.2353	0.3529	0.0595	0.1176	0.2400	16	1	0
18	MODEL	0.9628	37.6634	1	apparentTempC	48.8034	-4.8769	13.0511	2.0814																																			2	0.2222	0.3333	0.0567	0.1111	0.2400	17	1	0
19	MODEL	0.9628	38.4254	1	apparentTempC	48.7397	-4.8968	12.6862	2.0816																																			2	0.2105	0.3158	0.0529	0.1053	0.2378	18	1	0
20	MODEL	0.9609	40.4758	1	apparentTempC	48.3833	-4.2581	12.4338	2.0623																																			2	0.2000	0.3000	0.0500	0.1000	0.2371	19	1	0
21	MODEL	0.9597	42.1931	1	apparentTempC	48.7435	-3.9567	12.2191	2.0460																																			2	0.1905	0.2857	0.0479	0.0952	0.2214	20	1	0
22	MODEL	0.9600	42.9354	1	apparentTempC	48.9788	-3.9433	11.9754	2.0449																																			2	0.1818	0.2727	0.0458	0.0909	0.2138	20	2	0
23	MODEL	0.9587	44.4488	1	apparentTempC	49.1478	-3.8151	11.7192	2.0363																																			2	0.1739	0.2609	0.0441	0.0870	0.2060	21	2	0
24	MODEL	0.9606	45.1658	1	apparentTempC	49.6757	-3.8856	11.7495	2.0397																																			2	0.1667	0.2500	0.0419	0.0833	0.1898	22	2	0
25	MODEL	0.9626	46.3117	1	apparentTempC	50.3137	-4.1922	11.9316	2.0538																																			2	0.1600	0.2400	0.0400	0.0800	0.1804	23	2	0
26	MODEL	0.9623	47.5732	1	apparentTempC	50.6276	-4.2992	11.7940	2.0605																																			2	0.1538	0.2308	0.0385	0.0769	0.1804	23	3	0
27	MODEL	0.9566	52.7832	1	apparentTempC	50.2445	-4.8920	11.6936	2.0757																																			2	0.1481	0.2222	0.0370	0.0741	0.1755	24	3	0
28	MODEL	0.9572	53.6864	1	apparentTempC	49.9267	-5.0387	11.5961	2.0799																																			2	0.1429	0.2143	0.0358	0.0714	0.1684	25	3	0
29	MODEL	0.9603	54.5010	1	apparentTempC	49.3129	-5.2398	11.8566	2.0866																																			2	0.1379	0.2069	0.0348	0.0690	0.1623	27	2	0
30	MODEL	0.9619	57.4650	1	apparentTempC	50.0839	-4.1352	12.3744	2.0401																																			2	0.1333	0.2000	0.0333	0.0667	0.1809	28	2	0
