n	status	R2	AICc	nFeatures	features	b0_std	b0_raw	apparentTempC_std	apparentTempC_raw	apparentMinusTemp_std	apparentMinusTemp_raw	tempMinusWetBulb_std	tempMinusWetBulb_raw	wetBulbMinusDewPoint_std	wetBulbMinusDewPoint_raw	humidity_std	humidity_raw	stationPressurePa_std	stationPressurePa_raw	windSpeedKPH_std	windSpeedKPH_raw	precipProbability_std	precipProbability_raw	precipitationMM_std	precipitationMM_raw	cloudCover_std	cloudCover_raw	cloudCoverLow_std	cloudCoverLow_raw	cloudCoverMedium_std	cloudCoverMedium_raw	cloudCoverHigh_std	cloudCoverHigh_raw	uvIndex_std	uvIndex_raw	isDaylight_std	isDaylight_raw	activity_std	activity_raw	dress_std	dress_raw	sun_std	sun_raw	m	h_lower	h_upper	h_min	h_mean	h_max	n_inRange	n_blended	n_extrapolated
5	MODEL	0.8312	29.5480	1	apparentTempC	2.7608	-6.3134	17.5220	1.4172																																			2	0.8000	1.2000	0.2196	0.4000	0.8235	4	1	0
6	MODEL	0.8309	30.6455	1	apparentTempC	1.2483	-7.0613	16.0294	1.4362																																			2	0.6667	1.0000	0.1809	0.3333	0.8181	5	1	0
7	MODEL	0.8558	32.3436	1	apparentTempC	-1.2731	-7.1387	16.0812	1.4415																																			2	0.5714	0.8571	0.1450	0.2857	0.7828	6	1	0
8	MODEL	0.8093	36.5426	1	apparentTempC	-1.0548	-5.6666	14.4889	1.3765																																			2	0.5000	0.7500	0.1254	0.2500	0.7823	7	0	1
9	MODEL	0.4561	95.4472	1	apparentTempC	67.7572	1.4978	139.7826	11.0715																																			2	0.4444	0.6667	0.1190	0.2222	0.4594	8	1	0
10	MODEL	0.9994	40.1569	2	apparentTempC,cloudCover	60.0372	-3.7529	17.0151	1.3726																	-185.4909	-5.9086																	3	0.6000	0.9000	0.1131	0.3000	0.9999	8	1	1
11	MODEL	0.9996	42.9813	2	apparentTempC,cloudCover	111.5795	-3.7525	18.7924	1.3765																	-238.7543	-5.9455																	3	0.5455	0.8182	0.1130	0.2727	0.7679	10	1	0
12	MODEL	0.9996	44.8865	2	apparentTempC,cloudCover	103.3969	-3.8917	17.9010	1.3368																	-230.3369	-5.9580																	3	0.5000	0.7500	0.1024	0.2500	0.5543	9	3	0
13	MODEL	0.9996	46.9962	2	apparentTempC,cloudCover	95.1995	-3.5430	17.3073	1.3208																	-222.1930	-5.9589																	3	0.4615	0.6923	0.0925	0.2308	0.5538	10	3	0
14	MODEL	0.9995	51.4996	2	apparentTempC,cloudCover	89.7943	-3.0885	17.3350	1.3713																	-214.1401	-5.9405																	3	0.4286	0.6429	0.0857	0.2143	0.5001	11	3	0
15	MODEL	0.9999	31.2348	3	apparentTempC,cloudCover,windSpeedKPH	84.9211	4.6296	15.4384	1.2648											-4.6884	-0.6872					-207.3008	-5.9361																	4	0.5333	0.8000	0.0922	0.2667	0.5713	13	2	0
16	MODEL	0.9999	38.8950	3	apparentTempC,cloudCover,windSpeedKPH	80.4444	4.3776	15.3257	1.2983											-4.2654	-0.6356					-200.8592	-5.9262																	4	0.5000	0.7500	0.0844	0.2500	0.5680	14	2	0
17	MODEL	0.9999	39.2989	3	apparentTempC,cloudCover,windSpeedKPH	76.8109	4.4209	14.9556	1.3004											-4.2162	-0.6382					-195.2387	-5.9253																	4	0.4706	0.7059	0.0817	0.2353	0.5664	15	2	0
