n	status	R2	AICc	nFeatures	features	b0_std	b0_raw	apparentTempC_std	apparentTempC_raw	apparentMinusTemp_std	apparentMinusTemp_raw	tempMinusWetBulb_std	tempMinusWetBulb_raw	wetBulbMinusDewPoint_std	wetBulbMinusDewPoint_raw	humidity_std	humidity_raw	stationPressurePa_std	stationPressurePa_raw	windSpeedKPH_std	windSpeedKPH_raw	precipProbability_std	precipProbability_raw	precipitationMM_std	precipitationMM_raw	cloudCover_std	cloudCover_raw	cloudCoverLow_std	cloudCoverLow_raw	cloudCoverMedium_std	cloudCoverMedium_raw	cloudCoverHigh_std	cloudCoverHigh_raw	uvIndex_std	uvIndex_raw	isDaylight_std	isDaylight_raw	activity_std	activity_raw	dress_std	dress_raw	sun_std	sun_raw	m	h_lower	h_upper	h_min	h_mean	h_max	n_inRange	n_blended	n_extrapolated
5	MODEL	0.7353	16.8261	1	apparentTempC	-5.1302	-3.1127	3.6878	1.0608																																			2	0.8000	1.2000	0.2346	0.4000	0.5932	5	0	0
6	MODEL	0.9017	15.8127	1	apparentTempC	-2.8909	-2.5958	6.3617	1.2409																																			2	0.6667	1.0000	0.1675	0.3333	0.6935	5	1	0
7	MODEL	0.1305	30.3066	1	apparentTempC	-2.9883	-3.6992	2.2115	0.1990																																			2	0.5714	0.8571	0.1445	0.2857	0.8480	6	1	0
8	MODEL	0.1435	33.9154	1	apparentTempC	-1.9001	-2.8569	2.4431	0.2353																																			2	0.5000	0.7500	0.1284	0.2500	0.7878	7	0	1
9	MODEL	0.1043	38.4222	1	apparentTempC	-0.8625	-1.7585	2.1926	0.2256																																			2	0.4444	0.6667	0.1119	0.2222	0.7790	8	0	1
10	MODEL	0.8608	27.4559	2	apparentTempC,precipitationMM	-1.5526	-1.8706	11.9778	1.2441															-10.9380	-34.0444																			3	0.6000	0.9000	0.1155	0.3000	1.0000	9	0	1
11	MODEL	0.9990	46.4595	2	apparentTempC,cloudCover	52.9435	-0.7771	4.9443	0.4291																	-177.7437	-5.9330																	3	0.5455	0.8182	0.0993	0.2727	0.9999	9	1	1
12	MODEL	0.9989	50.2911	2	apparentTempC,cloudCover	47.5731	-1.6861	5.7505	0.5026																	-169.8242	-5.9226																	3	0.5000	0.7500	0.0912	0.2500	0.9999	10	1	1
13	MODEL	0.9989	52.4166	2	apparentTempC,cloudCover	43.5650	-1.5770	5.5267	0.5044																	-163.2129	-5.9209																	3	0.4615	0.6923	0.0834	0.2308	0.9998	11	0	2
14	MODEL	0.9989	54.5045	2	apparentTempC,cloudCover	39.9619	-1.5035	5.3220	0.5020																	-157.3506	-5.9207																	3	0.4286	0.6429	0.0773	0.2143	0.9998	12	0	2
