rating, appC, dryC, dewC, wetC, rh%, cldc, precmm, windkph
 -15.89085,   -7.15715,   -2.22222,  -15.00000,   -5.55556,   37.00000,    0.00000,    0.00000,   11.26300
  56.93991,   29.55517,    1.11111,   -0.55556,    0.55556,   89.00000,    1.00000,    1.01600,    0.00000
  47.96117,   27.37015,    1.11111,   -0.55556,    0.55556,   89.00000,    1.00000,    0.25400,   11.26300
  12.56475,    6.92488,   11.11111,   -5.55556,    4.44444,   31.00000,    0.00000,    0.00000,    4.82700
  -1.34307,   -0.55912,    2.22222,   -8.88889,   -1.66667,   44.00000,    1.00000,    0.00000,    4.82700
   4.62355,    3.14211,    3.33333,   -5.55556,    0.00000,   52.00000,    0.75000,    0.00000,    0.00000
  23.33399,   14.41416,   15.00000,    6.11111,   10.55556,   56.00000,    0.75000,    0.00000,    8.04500
  30.51871,   19.57006,    1.11111,   -1.11111,    0.00000,   85.00000,    1.00000,    1.27000,   20.91700
  -1.61276,    2.45799,    3.33333,   -4.44444,    0.55556,   57.00000,    1.00000,    0.00000,   11.26300
  36.55827,   21.13079,    1.11111,   -1.11111,    0.00000,   85.00000,    0.75000,    0.76200,   12.87200
   0.80339,    0.49440,    2.77778,   -9.44444,   -1.11111,   41.00000,    0.00000,    0.00000,    0.00000
  -1.13603,   -0.35000,    0.55556,   -8.88889,   -2.77778,   49.00000,    0.00000,    0.00000,    0.00000
   4.27044,    1.07029,    4.44444,  -12.22222,   -1.11111,   29.00000,    0.00000,    0.00000,    0.00000
 -11.07799,   -4.30459,   -2.77778,  -10.55556,   -5.00000,   55.00000,    0.00000,    0.00000,   11.26300
  45.00615,   23.07240,    0.55556,   -1.66667,   -0.55556,   85.00000,    0.75000,    0.12700,    0.00000
   9.41063,    6.63268,    4.44444,   -2.22222,    1.66667,   63.00000,    0.75000,    0.00000,    8.04500
  17.20275,    9.78328,   10.55556,    2.77778,    7.22222,   59.00000,    0.00000,    0.00000,   14.48100
   7.30259,    6.60244,    0.55556,   -3.88889,   -1.11111,   72.00000,    0.20000,    0.00000,   16.09000
  27.25977,   13.79810,   15.00000,    5.55556,   10.00000,   54.00000,    0.00000,    0.00000,    8.04500
   1.25125,    2.20017,    2.77778,   -5.55556,    0.00000,   54.00000,    0.75000,    0.00000,    4.82700
   3.28942,    2.03704,    0.00000,   -7.22222,   -2.22222,   59.00000,    0.00000,    0.00000,    0.00000
  -2.06559,   -0.68128,    0.00000,   -9.44444,   -2.77778,   50.00000,    0.00000,    0.00000,    0.00000
