n	status	R2	AICc	nFeatures	features	b0_std	b0_raw	apparentTempC_std	apparentTempC_raw	apparentMinusTemp_std	apparentMinusTemp_raw	tempMinusWetBulb_std	tempMinusWetBulb_raw	wetBulbMinusDewPoint_std	wetBulbMinusDewPoint_raw	humidity_std	humidity_raw	stationPressurePa_std	stationPressurePa_raw	windSpeedKPH_std	windSpeedKPH_raw	precipProbability_std	precipProbability_raw	precipitationMM_std	precipitationMM_raw	cloudCover_std	cloudCover_raw	cloudCoverLow_std	cloudCoverLow_raw	cloudCoverMedium_std	cloudCoverMedium_raw	cloudCoverHigh_std	cloudCoverHigh_raw	uvIndex_std	uvIndex_raw	isDaylight_std	isDaylight_raw	activity_std	activity_raw	dress_std	dress_raw	sun_std	sun_raw	m	h_lower	h_upper	h_min	h_mean	h_max	n_inRange	n_blended	n_extrapolated
5	MODEL	0.9964	15.2827	1	apparentTempC	20.0464	-1.2551	31.3487	1.8974																																			2	0.8000	1.2000	0.2169	0.4000	0.5095	5	0	0
6	MODEL	0.9965	13.2476	1	apparentTempC	17.4759	-1.2737	28.7373	1.8979																																			2	0.6667	1.0000	0.1743	0.3333	0.5044	6	0	0
7	MODEL	0.9950	14.6112	1	apparentTempC	18.3128	-1.5698	26.3065	1.8887																																			2	0.5714	0.8571	0.1540	0.2857	0.4539	7	0	0
8	MODEL	0.9906	19.3434	1	apparentTempC	19.8385	-1.8151	24.6779	1.8575																																			2	0.5000	0.7500	0.1312	0.2500	0.4115	8	0	0
9	MODEL	0.9881	22.5001	1	apparentTempC	17.4550	-2.5894	24.1249	1.8847																																			2	0.4444	0.6667	0.1216	0.2222	0.3842	9	0	0
10	MODEL	0.9968	14.8893	2	apparentTempC,windSpeedKPH	19.3654	0.0013	23.7903	1.9007											-2.1335	-0.3337																							3	0.6000	0.9000	0.1065	0.3000	0.5823	10	0	0
11	MODEL	0.9970	13.7678	2	apparentTempC,windSpeedKPH	17.6779	-0.0354	23.4712	1.9014											-2.1840	-0.3315																							3	0.5455	0.8182	0.1002	0.2727	0.5619	10	1	0
12	MODEL	0.9971	12.7985	2	apparentTempC,windSpeedKPH	16.1101	-0.1279	23.2043	1.9033											-2.1748	-0.3262																							3	0.5000	0.7500	0.0958	0.2500	0.5524	11	1	0
13	MODEL	0.9964	14.9641	2	apparentTempC,windSpeedKPH	15.1993	0.2781	22.6059	1.8967											-2.3472	-0.3513																							3	0.4615	0.6923	0.0834	0.2308	0.5427	11	2	0
14	MODEL	0.9967	14.4428	2	apparentTempC,windSpeedKPH	13.3224	0.3228	22.6793	1.8905											-2.2402	-0.3425																							3	0.4286	0.6429	0.0792	0.2143	0.4993	12	2	0
15	MODEL	0.9970	14.1992	2	apparentTempC,windSpeedKPH	15.4346	0.4064	23.1393	1.8986											-2.3317	-0.3560																							3	0.4000	0.6000	0.0725	0.2000	0.4380	14	1	0
16	MODEL	0.9969	13.7311	2	apparentTempC,windSpeedKPH	15.0581	0.3660	22.3972	1.8996											-2.2702	-0.3580																							3	0.3750	0.5625	0.0686	0.1875	0.4295	15	1	0
17	MODEL	0.9971	15.2589	3	apparentTempC,windSpeedKPH,cloudCover	15.1843	0.8997	22.3187	1.9547											-1.9361	-0.3009					-1.0857	-2.3874																	4	0.4706	0.7059	0.0782	0.2353	0.3851	17	0	0
18	MODEL	0.9970	15.1265	3	apparentTempC,windSpeedKPH,cloudCover	14.7464	0.8819	21.6642	1.9532											-2.0826	-0.3156					-1.0000	-2.2352																	4	0.4444	0.6667	0.0766	0.2222	0.3673	18	0	0
19	MODEL	0.9966	16.5517	3	apparentTempC,windSpeedKPH,cloudCover	15.4050	1.0497	21.3302	1.9681											-2.0106	-0.3134					-1.2112	-2.6948																	4	0.4211	0.6316	0.0756	0.2105	0.3603	19	0	0
20	MODEL	0.9967	15.8707	3	apparentTempC,windSpeedKPH,cloudCover	14.6973	1.0181	21.0241	1.9718											-1.9543	-0.3115					-1.2316	-2.7870																	4	0.4000	0.6000	0.0722	0.2000	0.3596	20	0	0
21	MODEL	0.9964	16.9400	3	apparentTempC,windSpeedKPH,cloudCover	14.1541	0.7590	20.6941	1.9715											-1.8844	-0.2980					-1.1567	-2.6079																	4	0.3810	0.5714	0.0720	0.1905	0.3566	21	0	0
